id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
56060,2006 Redline 925,absent,Redline,925,2006,[u'Silver or Gray'],True,"Alameda,94501",2015-08-26
57085,2010 Surly Long Haul Trucker,absent,Surly,Long Haul Trucker,2010,[u'Blue'],True,"San Francisco,94105",2015-08-26
56013,2014 Diamondback Overdrive Comp,absent,Diamondback,Overdrive Comp,2014,[u'Silver or Gray'],True,"Berkeley,94709",2015-08-26
55926,2012 Soma Double Cross,TSFBG01059,Soma,Double Cross,2012,[u'Black'],True,"San Francisco,94118",2015-08-25
55876,2014 Trek 7.7 FX,WTU300XD5191H,Trek,7.7 FX,2014,[u'Black'],True,Walnut Creek,2015-08-25
56008,2014 Specialized ALLEZ C2,WSBC606071222I,Specialized,ALLEZ C2,2014,"[u'Black', u'Red']",True,"San Francisco,94103",2015-08-24
55821,2015 Vilano C1 Comfort Road Bike,absent,Vilano,C1 Comfort Road Bike ,2015,[u'Blue'],True,"San Francisco,94105",2015-08-24
55877,2014 Huffy cranbrook,absent,Huffy,cranbrook,2014,[u'Yellow or Gold'],True,"San Francisco,94103",2015-08-24
94124,2015 Cannondale Quick 4,FM00797,Cannondale,Quick 4,2015,"[u'Silver or Gray', u'Black']",True,"San Francisco,CA",2015-08-24
55786,2015 Jamis Coda Sport,U146U2762,Jamis,Coda Sport,2015,[u'Black'],True,"San Francisco,94112",2015-08-23
56043,Giant Iguana,GU685973,Giant,Iguana,,[u'Yellow or Gold'],True,"San Francisco,CA",2015-08-23
55731,2015 Cannondale R700,Q036614,Cannondale,R700,2015,[u'Black'],True,"San Francisco,94110",2015-08-23
92267,SCOTT,s5f02747,SCOTT,,,[u'Purple'],True,"Berkeley,CA,94702",2015-08-23
55656,KHS Bicycles,B13N00241,KHS Bicycles,,,[u'Red'],True,"San Francisco,94107",2015-08-23
55872,2010 Specialized Tarmac Expert SL Double,STD59A0477,Specialized,Tarmac Expert SL Double,2010,[u'White'],True,"San Francisco,94118",2015-08-22
55874,2012 Salsa El Mariachi,absent,Salsa,El Mariachi,2012,[u'Silver or Gray'],True,"San Francisco,94118",2015-08-22
55460,2007 Trek 5200T,WL3389947,Trek,5200T,2007,[u'Black'],True,"San Francisco,94111",2015-08-21
55539,2013 Salsa,M11030579,Salsa,,2013,[u'Blue'],True,"San Francisco,CA,94102",2015-08-21
55085,Giant Escape 2,CC1J3368,Giant,Escape 2,,[u'Black'],True,"Oakland,CA,94609",2015-08-21
55669,1993 Litespeed Obed,10139,Litespeed,Obed,1993,[u'Silver or Gray'],True,"San Francisco,94550",2015-08-21
55791,Gunnar Street Dog,absent,Gunnar,Street Dog,,[u'Orange'],True,"Berkeley,94703",2015-08-21
56077,2012 Trek Madone 5.2 H2 (Compact),WTU182CT131F,Trek,Madone 5.2 H2 (Compact),2012,[u'Black'],True,"Richmond,CA,94804",2015-08-21
91991,2016 Giant,C4AL0028,Giant,,2016,[u'Brown'],True,"Berkeley,94710",2015-08-21
55358,2004 Fuji Silhoette,absent,Fuji,Silhoette,2004,[u'Silver or Gray'],True,"Oakland,94618",2015-08-21
55337,Schwinn,absent,Schwinn,,,[u'Blue'],True,"Oakland,94608",2015-08-20
55679,2015 Fuji Absolute,SWBD011L0269L,Fuji,Absolute,2015,[u'Silver or Gray'],True,"San Francisco,94158",2015-08-20
55502,2010 Marin Bikes San Rafael,CA10643FSC109,Marin Bikes,San Rafael,2010,[u'Blue'],True,"Redwood City,CA,94063",2015-08-20
55353,2014 Felt Z85,F1206K5174,Felt,Z85,2014,"[u'Black', u'Red']",True,"San Francisco,94114",2015-08-20
55345,2014 Reid - Australia Osprey - Flat Bar Road Bike,absent,Reid - Australia,Osprey - Flat Bar Road Bike,2014,[u'White'],True,"San Francisco,94109",2015-08-20
55730,2014 Critical Cycles Step-thru 7-Speed Shimano Hybrid Urban Commuter Road Bicycle,absent,Critical Cycles,Step-thru 7-Speed Shimano Hybrid Urban Commuter Road Bicycle,2014,[u'White'],True,"San Mateo,94401",2015-08-20
55650,Schwinn Varsity,absent,Schwinn,Varsity,,[u'Green'],True,"Oakland,94608",2015-08-20
55770,2008 Trek 1.2T,WTU260C0619C,Trek,1.2T,2008,[u'Black'],True,"Berkeley,94708",2015-08-20
55440,2009 Jamis Nova Pro,WK9E00303,Jamis,Nova Pro,2009,"[u'Green', u'White']",True,"San Francisco,94108",2015-08-20
55376,2003 Cannondale R1000,N028313,Cannondale,R1000,2003,"[u'Silver or Gray', u'Red']",True,San Francisco,2015-08-20
55312,1978 Schwinn Road Bike,absent,Schwinn,Road Bike,1978,[u'Blue'],True,"San,94122",2015-08-19
55241,2014 Kent La Jolla,absent,Kent,La Jolla,2014,"[u'Red', u'White']",True,"San Francisco,CA,94110",2015-08-19
55344,1999 Cannondale R300,D7634D2E52,Cannondale,R300,1999,[u'Purple'],True,"Oakland,94609",2015-08-19
55255,2009 Specialized Sequoia,STB5163378,Specialized,Sequoia,2009,[u'Silver or Gray'],True,"San Francisco,94117",2015-08-19
55233,2010 Gary Fisher Cronus Pro,absent,Gary Fisher,Cronus Pro,2010,[u'White'],True,"Millbrae,94030",2015-08-18
55336,2015 Trek Domane 4.3,WTU017XD0015J,Trek,Domane 4.3,2015,"[u'Blue', u'Black']",True,"Oakland,94608",2015-08-18
55181,2014 Cannondale Bad Boy 5,EM16952,Cannondale,Bad Boy 5,2014,[u'Black'],True,"San Francisco,94122",2015-08-17
56936,2006 Trek 2100,absent,Trek,2100,2006,[u'Silver or Gray'],True,"Oakland,94608",2015-08-17
55405,2015 Schwinn Sidewinder,absent,Schwinn,Sidewinder,2015,"[u'Pink', u'Black']",True,"Lafayette,94549",2015-08-17
56033,1980 Schwinn Le Tour,SD005668,Schwinn,Le Tour,1980,[u'Blue'],True,"San Francisco,94117",2015-08-16
54988,Giant Sedona,absent,Giant,Sedona  ,,[u'Silver or Gray'],True,"Oakland,94609",2015-08-16
91370,SE Bikes Draft,absent,SE Bikes,Draft,,[u'Black'],True,"Berkeley,CA,94703",2015-08-16
55034,2010 Trek 520,absent,Trek,520,2010,[u'Brown'],True,"Albany,94706",2015-08-16
55413,2015 Evil Following,EVM15201520477,Evil,Following,2015,[u'Black'],True,"Moraga,94556",2015-08-15
54877,2013 Marin Bikes Cortina,FA13482GS5026,Marin Bikes,Cortina,2013,[u'Black'],True,"San Francisco,94105",2015-08-15
54832,2015 Bianchi Pista,WBK702926E,Bianchi,Pista,2015,[u'Teal'],True,"San Francisco,CA,94110",2015-08-15
54877,2013 Marin Bikes Cortina,FA13482GS5026,Marin Bikes,Cortina,2013,[u'Black'],True,"San Francisco,94105",2015-08-15
55861,1983 Trek 400,absent,Trek,400,1983,"[u'Blue', u'Yellow or Gold']",True,"San Francisco,94110",2015-08-14
54777,Trek,WTV121CS286F,Trek,,,[u'Blue'],True,"San Francisco,94114",2015-08-14
54679,2003 Novara,110Y0227,Novara,,2003,[u'Black'],True,"Oakland,94609",2015-08-13
55128,2012 Jamis Coda Sport,U123U12672,Jamis,Coda Sport,2012,[u'Black'],True,"Berkeley,CA,94705",2015-08-13
54869,2012 Cannondale Synapse 5,absent,Cannondale,Synapse 5,2012,[u'Purple'],True,"San Francisco,94102",2015-08-13
54763,2012 Trek Marlin,WTU193C9076G,Trek,Marlin,2012,"[u'Black', u'Red']",True,"San Francisco,94117",2015-08-13
