id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
63613,2015 Specialized Crosstrail Disc,WSBC606201856J,Specialized,Crosstrail Disc,2015,['Green'],True,"Berkeley,94703",1448776800
63605,Bertoni road bike,absent,Bertoni,road bike,,['White'],True,"San Francisco,94114",1448776800
63544,2011 Felt F95,S1HT13919,Felt,F95 ,2011,"['Silver or Gray', 'Red']",True,"Alameda,94501",1448749703
63557,2015 Linus Linus Roadster Sport 3 speed,L3E1001731,Linus,Linus Roadster Sport 3 speed,2015,['Orange'],True,"San Francisco,94110",1448690400
63530,2013 Specialized Vita,WSBC602169491H,Specialized,Vita,2013,['Silver or Gray'],True,"San Francisco,CA,94133",1448690400
63495,2015 Specialized Roubaix Expert SL4,wsbc604102332H,Specialized,Roubaix Expert SL4,2015,['Red'],True,"San Francisco,CA,94123",1448604000
78970,2010 Pivot Mach 5.0,not sure,Pivot,Mach 5.0,2010,['Silver or Gray'],True,"Martinez,94553",1448517600
63679,2015 Cannondale CAADX Disc 105,CM39695,Cannondale,CAADX Disc 105,2015,['Black'],True,"San Francisco,94117",1448517600
63466,2014 Bianchi 53 1/2,WBK745972K,Bianchi,53 1/2,2014,['Green'],True,"San Francisco,94110",1448517600
63458,2016 Kona Dew Plus,absent,Kona,Dew Plus,2016,['Yellow or Gold'],True,"San Francisco,CA,94115",1448431200
64138,2015 Specialized Tarmac Expert,absent,Specialized,Tarmac Expert,2015,['Black'],True,"San Francisco,94118",1448431200
64137,2013 Specialized Ruby Compact 51cm,absent,Specialized,Ruby Compact 51cm,2013,['Black'],True,"San Francisco,94118",1448431200
63394,2011 Cannondale Five,I0C0123B01990,Cannondale,Five,2011,['Purple'],True,"San Francisco,94123",1448344800
64654,2013 Surly Big Dummy cargo bike (rear storage),M12120071,Surly,Big Dummy,2013,['Silver or Gray'],True,"San Francisco,CA,94103",1448344800
63425,1982 Trek 614,absent,Trek,614,1982,['Blue'],True,"Oakland,CA,94608",1448344800
57016,2015 State Bicycle Co. Bel Aire 2.0,SBC20141235,State Bicycle Co.,Bel Aire 2.0,2015,['Yellow or Gold'],True,"Berkeley,CA",1448344800
62726,2016 Trek 7.2fx,wtu350c0339j,Trek,7.2fx,2016,['Black'],True,"El Cerrito,CA,94530",1448344800
63323,2006 Trek 4300 Disc,C56F2344,Trek,4300 Disc,2006,['Silver or Gray'],True,"Oakland,94607",1448318256
